text,stage,установление_контакта,выявление_потребностей,презентация,работа_с_возражениями,закрытие,method,pressure,result,property_type,objection,manager_style,client_mood,details,technique,client_type,params,outcome
"Менеджер: Добрый день! Рад вас видеть в нашем офисе. Какие цели вы преследуете при инвестициях в недвижимость?

Клиент: Здравствуйте! Я хочу вложить средства, чтобы получить стабильный доход от аренды.

Менеджер: Понятно. Какой уровень доходности вам кажется приемлемым для таких инвестиций?

Клиент: Хотелось бы хотя бы 8-10% годовых.

Менеджер: Интересная цель! У нас есть несколько объектов, которые могут подойти под эти параметры. Вы рассматриваете какую-то конкретную локацию или тип недвижимости? 

Клиент: Да, меня интересуют квартиры в центре города и новостройки.

Менеджер: Отличный выбор! В центре у нас сейчас есть предложения по цене от 6 до 9 миллионов рублей за квартиру площадью около 50 квадратных метров. Вас это устраивает?

Клиент: Это немного выше моего бюджета, но если ожидаемая доходность будет на уровне 10%, возможно рассмотрю варианты!

Менеджер: В таком случае стоит обратить внимание на районы с активным развитием инфраструктуры — там цены растут быстрее. Возможно ли увеличить ваш бюджет до 7 миллионов рублей? 

Клиент: Да, могу рассмотреть вариант чуть дороже за счет ипотечных средств.

Менеджер: Замечательно! Давайте пройдёмся по нашим лучшим предложениям и посмотрим объекты с наиболее привлекательной арендной ставкой. Когда вам удобно организовать просмотр?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,инвестор,ипотека готова,
"Менеджер: Добрый день! Меня зовут Алексей, я менеджер по недвижимости. Как ваше настроение?

Клиент: Привет, Алексей! Все хорошо, спасибо. А вы чем занимаетесь?

Менеджер: Я помогаю людям находить квартиры в центре города. У вас есть интерес к покупке жилья? 

Клиент: Да, на самом деле ищу вторичное жилье в центре.

Менеджер: Отлично! В нашем портфолио есть несколько замечательных вариантов. Например, трехкомнатная квартира площадью 85 квадратов всего за 12 миллионов рублей!

Клиент: Звучит интересно! Где она расположена?

Менеджер: Квартира находится в районе Арбата — это очень престижный и удобный для жизни район.

Клиент: Ого, Арбат — это супер местоположение! Можем встретиться и обсудить детали? 

Менеджер: Конечно! Когда вам будет удобно встретиться? Может быть завтра или послезавтра?",Установление контакта,5,2,1,3,1,,,,,,дружелюбный,заинтересованный,вторичка в центре,,,,
"Менеджер: Здравствуйте! Как дела? Я вижу, что вы интересуетесь квартирой на Бульварном проспекте. 

Клиент: Привет! Да, смотрел ваши предложения. Но я считаю, что цена в 8 миллионов рублей слишком высокая для этой квартиры.

Менеджер: Понимаю ваше беспокойство по поводу цены. Можете рассказать мне подробнее о вашем сравнении с другими предложениями?

Клиент: Ну да, есть похожие варианты за 7-7.5 миллионов рядом с метро.

Менеджер: Спасибо за информацию! Сравнение действительно важно. Однако стоит учесть дополнительные факторы — наш объект полностью готов к заселению и имеет ряд уникальных характеристик.

Клиент: Возможно, но все равно не могу понять разницу в цене… Что у вас там особенного?

Менеджер: У нас отличная шумоизоляция и свежий ремонт от известных дизайнеров плюс развитая инфраструктура вокруг — школы и магазины шаговой доступности!

Клиент: Это правда важные моменты... Но всё же цена очень высока для меня сейчас.

Менеджер: Я понимаю вашу точку зрения. Можно ли спросить - какой бюджет вам комфортен? Может быть мы сможем найти оптимальное решение вместе?

Клиент: Думаю до 7 миллионов я мог бы рассмотреть...

Менеджер: Хорошо понять ваш лимит! Давайте подумаем над альтернативами или возможностью скидки при полной предоплате…

Клиент: Не уверен пока... Надо подумать еще немного об этом варианте.

Менеджер : Конечно! Поразмышляйте спокойно, а если будут вопросы или захотите обсудить другие варианты – дайте знать!

Клиент : Спасибо большое за понимание!",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,LAER метод,,,откладывает решение
"Менеджер: Здравствуйте! Спасибо, что обратились. Я понимаю ваши сомнения по поводу необходимости ремонта.

Клиент: Да, именно это меня и беспокоит. Ремонт требует времени и дополнительных затрат.

Менеджер: Согласен с вами, ремонт может быть серьезным вложением. Но стоит учесть, что квартира в хорошем состоянии сильно увеличит свою стоимость на рынке.

Клиент: Это верно, но я не хочу тратить еще 500 тысяч рублей на переделки!

Менеджер: Понимаю вас полностью! На самом деле можно рассмотреть варианты небольшого косметического ремонта – он значительно дешевле и поможет улучшить общий вид квартиры без больших затрат.

Клиент: Возможно... Но все равно нужен хотя бы небольшой запас для непредвиденных расходов.

Менеджер: Конечно! Мы можем предложить вам скидку в размере 3% от стоимости квартиры. Это немного поможет компенсировать будущие расходы на ремонт.

Клиент: Скидка звучит интересно, но мне нужно больше информации о самой квартире прежде чем принимать решение...

Менеджер: Безусловно! Давайте обсудим детали – площадь составляет 75 квадратных метров с хорошей планировкой и центральным отоплением. Что скажете?",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,согласие+контраргумент,,,просит скидку
"Менеджер: Добрый день! Как я могу вам помочь с выбором недвижимости?  
Клиент: Здравствуйте. Я рассматриваю варианты, но меня смущает то, что квартиры требуют ремонта.  
Менеджер: Понимаю вас. Вы имеете в виду состояние квартир или планировку?  
Клиент: Меня беспокоит именно сам ремонт – это дополнительные затраты и время на его выполнение.  
Менеджер: То есть вы считаете, что ремонт может стать значительным препятствием для принятия решения о покупке?   
Клиент: Да, именно так. Не знаю, стоит ли связываться с этим сейчас.  
Менеджер: Значит, вы думаете об альтернативных вариантах без необходимости делать ремонт сразу после покупки?   
Клиент: Верно! Мне бы хотелось увидеть готовые квартиры или хотя бы такие с минимальным ремонтом.     
Менеджер: Я понимаю вашу позицию! Позвольте предложить несколько объектов с косметическим ремонтом по цене от 5 до 7 миллионов рублей - как вам такая идея?    
Клиент: Пока не уверена... Это все равно требует дополнительных вложений и времени на поиск подходящих вариантов.
Менеджер : Так значит у вас пока нет четкого представления о том, когда хотите принять решение?
 Клиент : Да получается так… мне нужно больше времени подумать.
",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,перефразирование,,,откладывает решение
"Менеджер: Добрый день! Меня зовут Анна, я менеджер по недвижимости. Как ваше настроение сегодня?  
Клиент: Здравствуйте, Анна! Все хорошо, спасибо. Чем могу помочь?  
Менеджер: Я обращалась к вам по поводу покупки квартиры на вторичном рынке в центре города. У нас есть несколько интересных предложений. Вы все еще рассматриваете варианты?  
Клиент: Да, мне очень интересно узнать о ваших предложениях! Какие метражи и цены вы можете предложить?  
Менеджер: Например, у нас есть квартира площадью 65 квадратных метров за 8 миллионов рублей. Она находится в районе с развитой инфраструктурой и хорошими транспортными связями. Что скажете об этом варианте?  
Клиент: Это звучит неплохо! А какие условия оплаты вы предлагаете?   
Менеджер: Мы предлагаем различные способы оплаты – как наличные средства, так и ипотеку можно оформить через наших партнеров с выгодным процентом от 7%. Хотите обсудить детали или посмотреть квартиру на месте?    
Клиент: Давайте договоримся о встрече для просмотра квартиры! Когда вам будет удобно встретиться?

Менджер.: Как насчет этой субботы в 11 утра?
",Установление контакта,5,2,1,3,1,,,,,,профессиональный,заинтересованный,вторичка в центре,,,,
"Менеджер: Добрый день! Я понимаю, что цена может показаться высокой. Мы предлагаем квартиры в центре города по 8 миллионов рублей за 70 квадратов.

Клиент: Да, но это действительно дорого для такого жилья. Есть ли варианты подешевле?

Менеджер: Согласен с вами, цены сейчас высокие. Но учтите, что такие объекты быстро растут в цене и имеют высокий потенциал для аренды.

Клиент: Это правда. Однако меня все равно смущает сумма первоначального взноса.

Менеджер: Понимаю ваши опасения. Обратите внимание на то, что наша программа ипотечного кредитования позволяет начать с 15% первого взноса – около 1 миллиона двести тысяч рублей!

Клиент: Хорошо, но когда я смогу заселиться? 

Менеджер: Благодаря тому, что у нас готовое жилье к продаже - вы можете въехать уже через месяц после оформления сделки!

Клиент: Месяц — это неплохо... Но все же не уверена в своих финансовых возможностях.

Менеджер: Полностью вас поддерживаю! Тем не менее можно рассмотреть возможность улучшенной ипотеки или субсидий от государства – они значительно облегчают бремя платежей.

Клиент: Ох… В общем-то звучит разумно… Ладно, давайте посмотрим на квартиру еще раз и обсудим детали! 

Менеджер: Отличное решение! Давайте назначим встречу на этот выходной?",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,согласие+контраргумент,,,клиент согласился
"Менеджер: Добрый день! Рад вас видеть в нашем офисе. Как у вас дела?

Клиент: Здравствуйте! Спасибо, все нормально, вот решил заняться продажей квартиры.

Менеджер: Это отличное решение! Могу я узнать, что именно побудило вас продать квартиру сейчас? 

Клиент: Ну, мне уже 70 лет и квартира стала слишком большой для меня. Хочу купить что-то поменьше.

Менеджер: Понимаю. А какую площадь вы рассматриваете для новой квартиры? И есть ли предпочтения по району?

Клиент: Думаю о двухкомнатной квартире около 50-60 квадратов. Хорошо бы рядом с парком.

Менеджер: Замечательно! У нас есть варианты в таких размерах от 6 до 8 миллионов рублей. Когда планируете завершить продажу вашей текущей квартиры?

Клиент: Постараюсь уложиться месяца за три.

Менеджер: Отлично! Мы можем помочь вам подготовить документы и начать показ квартир сразу после продажи вашей недвижимости. Есть ли у вас какие-то вопросы или пожелания по этому поводу?

Клиент: Да пока нет вопросов, но хотелось бы знать больше о процессе продажи.

Менеджер: Конечно! Мы проведем оценку вашей квартиры и сделаем фото для объявления на сайте – это занимает несколько дней. После этого начнем показывать потенциальным покупателям!

Клиент (ошибочно): Ой, а разве не нужно сначала найти новую квартиру перед продажей старой?  

Менеджер (исправляясь): На самом деле многие сначала продают свою недвижимость и только потом ищут новую — так проще понять свой бюджет на новое жильё. Но если хотите искать заранее — тоже возможно!

Клиент : Я понял… Тогда давайте начинать с оценки моей квартиры прямо сегодня!

Метод диалога продолжит вести к дальнейшему шагам работы над проектом клиента.
",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,пенсионер,сроки 3 месяца,
"Менеджер: Здравствуйте! Я заметил, что у вас есть некоторые сомнения по поводу района. Можете поделиться своими опасениями?  
Клиент: Да, мне кажется этот район не очень хороший. Здесь много проблем с криминалом и инфраструктурой.  
Менеджер: Спасибо за вашу откровенность! Я слышал подобные отзывы от других клиентов. Какие конкретно моменты беспокоят вас больше всего?  
Клиент: Ну, например, рядом нет магазинов и хороших школ для детей. Это важно для меня.   
Менеджер: Понимаю ваше беспокойство! В районе действительно не так много крупных супермаркетов, но ближайший находится в 10 минутах на машине и открывается новый детский сад через год в соседнем доме — это тоже может быть плюсом для вашей семьи! Как вы к этому относитесь?  
Клиент: Не знаю… Если честно, такие расстояния все равно смущают меня. Не хочется тратить много времени на дорогу каждый день...    
Менеджер: Это вполне разумная позиция! Однако стоит отметить также наличие общественного транспорта - автобусы ходят каждые 15 минут до центра города. Может ли это немного улучшить ситуацию в вашем восприятии района?   
Клиент: Возможно... Но я всё равно бы предпочел более развитый район с меньшими рисками…    
Менеджер: Конечно! У каждого свои требования к комфортной жизни и безопасности – это совершенно нормально понимать ваши приоритеты лучше; возможно вам подойдут другие варианты недвижимости в более спокойных районах города?      
Клиент: Наверное да.. Но знаете как-то сейчас уже настроился на эту квартиру..     
Менеджер: Понимаю вас полностью - иногда тяжело менять планы после того как ты определился с выбором!! Давайте сделаем так – я соберу информацию о лучших вариантах квартир в разных районах и свяжусь с вами через пару дней чтоб обсудить их вместе?.",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,LAER метод,,,откладывает решение
"Менеджер: Добрый день! Рад вас видеть. Как у вас дела? 

Клиент: Здравствуйте! В целом все нормально, вот только с жильем надо что-то решать.

Менеджер: Понимаю, это важный вопрос. Скажите, какая площадь квартиры вам нужна для комфортного проживания?

Клиент: Думаю, 2 комнаты будет достаточно. Большую не хочу.

Менеджер: Отлично! А какие районы вы рассматриваете? Есть ли предпочтения по инфраструктуре?

Клиент: Мне бы поближе к магазину и аптеке... район недалеко от метро тоже был бы неплох. 

Менеджер: Ясно. А каковы ваши финансовые возможности? Ипотека уже готова – какая сумма доступна?

Клиент: Да-да, ипотеку одобрили на 3 миллиона рублей.

Менеджер: Хорошо слышать! Какие сроки покупки квартиры вас устраивают? Вы планируете быстро завершить сделку или можете подождать немного?

Клиент: Хочется сделать это в ближайшие два-три месяца… чтобы не затягивать дело слишком долго.

Менеджер : Понял вас правильно. Если мы найдем подходящий вариант до конца следующего месяца — устроит ли это ситуацию по срокам для вашего переезда?

Клиент : Да-да, вполне меня устроит такой график!

Менеджер : Прекрасно! Давайте начнем искать варианты и я подготовлю несколько предложений для нашей встречи через неделю.
",Выявление потребностей,3,5,2,2,1,,,,,,,,,СПИН-вопросы,пенсионер,ипотека готова,
"Менеджер: Добрый день! Рад вас видеть в нашем офисе. Как вы себя чувствуете?

Клиент: Здравствуйте! Спасибо, все хорошо. Немного переживаю из-за покупки квартиры.

Менеджер: Понимаю, это важный шаг. Скажите, что для вас самое главное в новой квартире? 

Клиент: Главное — это удобное расположение и чтобы была хорошая инфраструктура рядом.

Менеджер: Отлично! У нас есть варианты в пределах 6-8 миллионов рублей с хорошей транспортной доступностью. Какие районы вам нравятся?

Клиент: Я бы хотел рассмотреть район возле метро и желательно рядом с парком.

Менеджер: Хороший выбор! В таком случае у нас есть квартира площадью 65 м² на улице Ленина за 7 миллионов рублей, всего в десяти минутах от метро. Что скажете об этом варианте?

Клиент: Мне нравится цена и размер, но как там с состоянием квартиры? Она новая или вторичка?

Менеджер: Это квартира во вторичном фонде – она требует небольших косметических ремонтов, но очень уютная. Вы сможете сразу сделать её по своему вкусу!

Клиент: Понятно... А когда я смогу посмотреть квартиру перед покупкой?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,пенсионер,бюджет 6-8 млн,
"Менеджер: Здравствуйте! Я увидел, что вы интересовались квартирой на улице Ленина. Она стоит 6 миллионов рублей. Что вас смущает в этой цене?

Клиент: Привет! Да, цена действительно высокая для меня. Я ожидал увидеть что-то менее дорогое.

Менеджер: Понял вас правильно. Вы считаете, что цена квартиры не оправдывает ее стоимость? 

Клиент: Именно так. За такие деньги можно найти более выгодные предложения в других районах.

Менеджер: То есть вы ищете лучшее соотношение цены и качества жилья? Это вполне разумно!

Клиент: Да, я хочу получить максимум за свои деньги и чувствую, что эта квартира слишком дорога для её метража.

Менеджер: Получается, для вас важен именно метраж и удобство расположения квартиры по сравнению с ценой?

Клиент: Верно! Если бы была квартира большего размера или с лучшим ремонтом — возможно задумался бы о покупке.

Менеджер: Итак, вам важно видеть дополнительные преимущества в квартире при такой цене? Как насчет того чтобы посмотреть похожие варианты поблизости?

Клиент: Давайте пока отложим это решение… Может быть позже вернусь к этому вопросу.

Менеджер: Хорошо понимаю вашу позицию! Если появятся новые предложения или изменится ваша ситуация — дайте знать когда будете готовы обсудить ещё раз.
",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,перефразирование,,,откладывает решение
"Менеджер: Добрый день! Рад вас видеть. Как настроение? 

Клиент: Добрый день! Все отлично, спасибо. Мы очень надеемся найти подходящую квартиру.

Менеджер: Это замечательно! Какие основные критерии для вас важны при выборе жилья?

Клиент: Нам нужна квартира с двумя спальнями и в районе с хорошей инфраструктурой — магазины, школы рядом. Площадь около 70-80 квадратов.

Менеджер: Понял вас. У нас есть несколько интересных вариантов в пределах 7-9 миллионов рублей на эту площадь. Вам важно также наличие балкона или парковки?

Клиент: Да, балкон был бы идеален! А вот по поводу парковки... это не критично, но было бы неплохо.

Менеджер: Отлично! Я думаю, что у нас есть хорошие варианты как раз с балконом и возможностью купить место на стоянке. Когда планируете переезд? Вы говорили о трех месяцах?

Клиент: Да, мы хотели бы успеть до конца февраля следующего года.

Менеджер: Замечательный срок! Давайте тогда я подготовлю список объектов именно под ваши требования и встретимся снова через пару дней?  

Клиент: Хорошо, ждем вашего предложения!",Выявление потребностей,3,5,2,2,1,,,,,,,,,активное слушание,молодая семья,сроки 3 месяца,
"Менеджер: Привет! Рад, что вы пришли на показ нашей студии. Это идеальное место для жизни в центре города. Давайте я расскажу о некоторых особенностях.

Клиент: Здравствуйте! Да, давайте посмотрим. Но сразу скажу - меня смущают высокие потолки. Они кажутся слишком большими.

Менеджер: Понимаю ваши сомнения! Высота потолков здесь составляет 3 метра. Представьте себе — это дает ощущение простора и позволяет использовать вертикальное пространство для хранения или декорирования!

Клиент: Может быть, но мне кажется, что такое пространство будет труднее обогреть зимой...

Менеджер: Хороший вопрос! На самом деле, благодаря современным технологиям утепления и качественным радиаторам отопление здесь работает очень эффективно даже при такой высоте.

Клиент: Хм... Не думал об этом так. А как с отделкой? Я предпочел бы сделать все под себя.

Менеджер: Конечно! Эта студия предлагается без отделки – у вас есть возможность воплотить свои идеи по дизайну интерьера и создать уникальное пространство именно для себя!

Клиент: Что ж, это интересно… Сколько стоит эта студия?

Менеджер: Она выставлена за 4 миллиона рублей общей площадью 35 квадратных метров. И не забывайте про удобное расположение рядом со станцией метро!

Клиент: Цена нормальная для района... 
Но всё же высокая стоимость вызывает вопросы из-за потерь тепла от таких потолков…

Менеджер (ошибка): На самом деле общая площадь влияет больше на цену квартиры чем сам этажный высотность жилья…

Клиент (недоуменно): Эмм.. Простите? Вы имеете в виду размер комнаты важнее высоты?

Менеджер (осознав ошибку): Ой, прошу прощения за путаницу! Верно то, что количество квадратов действительно играет роль ценности объекта недвижимости.
",Презентация объекта,2,3,5,3,2,сторителлинг,,,студия,слишком высокие потолки,,,,,,,
"Менеджер: Добрый день! Рад вас видеть. Как прошла дорога до нашего офиса?  

Клиент: Привет, спасибо! Всё хорошо, немного волновались, но теперь всё в порядке.  

Менеджер: Отлично! Давайте сразу к делу. Расскажите мне о ваших планах по покупке недвижимости – что именно вы ищете и какие у вас сроки?  

Клиент: Мы хотим купить квартиру для нашей молодой семьи с двумя маленькими детьми. Площадь около 70-80 квадратов и желательно в районе с хорошими школами и детскими садами. Сроки – примерно три месяца.

Менеджер: Замечательно слышать про ваши предпочтения! Есть ли у вас определенный бюджет на покупку квартиры?

Клиент: Да, мы рассчитываем где-то на 8-10 миллионов рублей.

Менеджер: Хороший диапазон для выбора качественного жилья в этом сегменте рынка. Вы уже рассматривали какие-либо районы или предпочитаете получить рекомендации от нас?  

Клиент: Мы думали про центр города или ближайшие пригороды, но не уверены в конкретных районах.

Менеджер: Понятно, расскажите еще - есть ли особые пожелания относительно инфраструктуры рядом с домом?

Клиент: Для нас важно наличие парков поблизости и магазинов повседневной необходимости.

Менеджер: Спасибо за информацию! Я подготовлю несколько вариантов квартир исходя из вашего бюджета и требований к районам прямо сейчас… Извините, я забыл спросить — вам нужен новый ремонт или вторичное жильё тоже подходит?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,молодая семья,сроки 3 месяца,
"Менеджер: Привет! Я вижу, что вы заинтересованы в квартире на улице Ленина. Какой у вас есть вопрос?

Клиент: Здравствуйте! Да, квартира мне нравится, но я беспокоюсь о состоянии — нужен серьезный ремонт.

Менеджер: Понимаю вашу озабоченность по поводу ремонта. Это важно для комфортного проживания. Можете рассказать подробнее, какие именно работы вас смущают?

Клиент: Ну, обои старые и полы тоже не в лучшем состоянии. Нужно будет много денег вложить!

Менеджер: Спасибо за обратную связь! Обратите внимание, что цена квартиры уже отражает необходимость ремонта — она составляет 4 миллиона рублей при метраже 70 квадратов.

Клиент: Но все равно это дополнительная финансовая нагрузка... Не могли бы вы сделать скидку на стоимость из-за этого?

Менеджер: Вы правы; мы можем рассмотреть вариант скидки. Однако давайте сначала уточним ваши ожидания по стоимости после ремонта? Сколько вам нужно потратить примерно?

Клиент: Думаю еще около 800 тысяч рублей уйдет точно.

Менеджер: То есть с учетом вашего прогноза нам стоит поработать над общей цифрой? Давайте тогда предложим вам цену в 3 миллиона 800 тысяч рублей вместо текущей цены?

Клиент: Мне кажется это более-менее приемлемо… Но хотелось бы чуть больше уступку.

Менеджер: Хорошо! Я могу предложить окончательную цену — 3 миллиона734 тысячи рублей и поможем составить план работ для удобства!

Клиент : Отлично звучит! Запустим процесс оформления документов?",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,LAER метод,,,просит скидку
"Менеджер: Добрый день! Спасибо, что нашли время обсудить квартиру. Я понимаю, цена может показаться высокой.

Клиент: Да, добрый день! Но 7 миллионов за двухкомнатную квартиру на окраине - это чересчур!

Менеджер: Позвольте уточнить, вы имеете в виду цену? На данный момент у нас есть предложение с хорошими условиями и ремонтом.

Клиент: Да-да, но все равно мне кажется это дорого. В других новостройках цены ниже.

Менеджер: Я вас услышал. Могу узнать ваши критерии по цене? Возможно у нас есть альтернативные варианты?

Клиент: Честно говоря, планировал уложиться в 5 миллионов максимум.

Менеджер: Понимаю вашу позицию. Однако стоит учитывать уровень отделки и расположение квартиры — они влияют на стоимость значительно.

Клиент: Это правда. Но я пока не готов платить такую сумму без дополнительных данных о развитии района...

Менеджер: Согласен с вами! Развитие инфраструктуры действительно важно для будущей стоимости недвижимости. Если хотите – могу отправить информацию о проекте развития округа?

Клиент: Буду признателен за эту информацию! Все же хочу рассмотреть другие предложения сначала…

Менеджер: Конечно! Давайте тогда назначим встречу через неделю после того как вы изучите материалы? Так мы сможем вернуться к обсуждению при наличии новых вопросов или предложений!

Клиент: Отлично звучит! Запишитесь ко мне на следующий вторник вечером?

Менеджер : Хорошо записываю наш разговор на вторник в 18 часов.
",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,LAER метод,,,откладывает решение
"Менеджер: Здравствуйте! Я понимаю, что вопрос ремонта может быть важным для вас. Многие наши клиенты также отмечают этот момент.  
Клиент: Да, конечно, но ремонт нужен капитальный, и это дополнительные расходы в будущем.  
Менеджер: Вы правы, капремонт действительно требует вложений. Но стоит учесть, что квартира расположена в центре города и имеет отличную транспортную доступность — это добавляет ценности вашей покупке.   
Клиент: Это да... Но все равно придется тратить деньги на ремонт сразу после покупки и времени уйдет много!  
Менеджер: Согласен с вами! Время на ремонт может занять до нескольких месяцев в зависимости от объема работ. Однако многие наши покупатели предпочитают делать такой выбор именно из-за выгодного местоположения и низкой цены за квадратный метр здесь — она составляет 90 000 рублей за кв.м., тогда как средняя по району около 100 000 рублей.    
Клиент: Интересно… Может быть мне предложить скидку из-за необходимости ремонта?   
Менеджер: Понимаю вашу позицию! Давайте обсудим возможность небольшого торга; я могу уточнить у собственника о возможной скидке до 5%. Как вам такая идея?",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,согласие+контраргумент,,,просит скидку
"Менеджер: Здравствуйте! Рада видеть вас на показе этого замечательного таунхауса. Он площадью 150 м² и стоит 12 миллионов рублей. Позвольте рассказать о его особенностях.

Клиент: Добрый день! Спасибо, но знаете, я заметил, что потолки здесь очень высокие... Мне кажется, это не совсем удобно.

Менеджер: Понимаю ваше беспокойство. Но высокий потолок – это действительно преимущество (Feature). Это создает ощущение простора и позволяет лучше циркулировать воздуху в помещении (Advantage). Кроме того, вы можете использовать вертикальное пространство для декорирования или хранения вещей вверх по стенам (Benefit).

Клиент: Да, возможно… Но как-то непривычно может быть жить с такими высотами. 

Менеджер: Я вас понимаю! Однако многие наши клиенты отмечают именно комфортность такого пространства — оно придает жилью особую атмосферу уюта и свободы передвижения. Вы сможете разместить любимые картины или даже создать зону для отдыха выше!

Клиент: Интересная идея... А вот мне важно знать про отопление зимой — не будет ли холодно?

Менеджер: Отличный вопрос! Здесь установлено современное двухконтурное газовое отопление с регулировкой температуры в каждом помещении. Благодаря высоким потолкам воздух прогревается равномерно и быстро достигает нужной температуры.

Клиент: Хорошо слышать об этом... Но если честно - все же сомневаюсь из-за этих высот…

Менеджер: Понимаю ваши сомнения; они вполне естественны при выборе жилья. Могу предложить вам посмотреть аналогичные объекты с более низкими потолками? Или мы можем обсудить возможные варианты оформления интерьера здесь?",Презентация объекта,2,3,5,3,2,FAB метод,,,таунхаус,слишком высокие потолки,,,,,,,
